MATCHKEY,DELQID,CRELIM,goodbad
13331509,0,3750,0
12927855,0,1000,0
4103013,1,2250,0
100173157,2,300,0
16864585,0,1000,0
17086598,6,500,1
14615187,1,1500,0
15357227,2,300,0
11407336,1,1181,0
13543023,0,1500,0
13511910,2,2500,0
10405116,1,2500,0
5449713,4,1197,1
11502471,0,1000,0
16237577,7,1700,1
14525710,1,1500,0
10322062,0,5750,0
5464105,0,3250,0
16474924,2,1000,0
14948973,1,1500,0
16423868,1,2250,0
3007007,0,5000,0
12999017,1,1500,0
1766128,0,1500,0
11612533,0,1000,0
3011790,1,4500,0
4026538,0,2750,0
4534895,0,1500,0
4051746,3,855,1
14395093,0,1750,0
11351248,0,2000,0
10352076,0,1750,0
16354061,7,1750,1
4207130,3,1160,1
1374470,0,6000,0
2474973,1,3750,0
13597835,0,1100,0
10418974,0,1750,0
13806281,0,2500,0
5387045,1,3000,0
10296510,1,3000,0
14331880,0,2000,0
10692524,0,1000,0
14282962,1,2000,0
16390298,0,1000,0
10197744,1,2000,0
4536760,1,4250,0
3829259,0,5250,0
12991481,0,3000,0
14424864,0,3250,0
13837988,7,300,1
11402447,0,2000,0
4788613,7,450,1
10353278,0,5000,0
12966395,0,3250,0
5389687,0,3750,0
11446962,0,3250,0
100323156,6,1000,1
100223499,0,500,0
15822139,7,1000,1
13916645,0,1000,0
15007775,0,2000,0
15027780,0,3250,0
14717865,7,500,1
11611098,1,4000,0
3956910,0,4500,0
16739459,0,1750,0
13727808,1,1500,0
4515625,5,3400,1
11508737,0,1000,0
2456557,0,4750,0
13235020,0,1750,0
100278073,2,500,0
13900425,1,2000,0
14459939,0,2000,0
3740545,0,1500,0
14642200,0,2500,0
100254681,0,1750,0
5340806,0,3250,0
13724300,0,900,0
1742021,2,2800,0
5381913,6,1750,1
14868088,0,500,0
13683353,0,1000,0
4563573,0,4000,0
15001193,0,3750,0
14476662,0,2000,0
11294282,0,950,0
5245591,0,5000,0
16765864,1,1250,0
16097178,5,1250,1
5165232,2,2750,0
16575242,1,1750,0
10147491,1,2500,0
11534075,1,2250,0
11543281,0,2000,0
3064326,0,6000,0
14756363,0,1500,0
10235057,0,3250,0
15343983,3,400,1
14927993,1,1500,0
5244071,3,2750,1
2444608,0,4900,0
13239771,0,1000,0
4597871,0,2750,0
4706091,3,2250,1
14980408,1,2000,0
5417840,0,1750,0
3510502,0,6000,0
14095868,0,500,0
11528632,0,2500,0
10407529,0,500,0
12967822,1,1500,0
14475764,0,3250,0
14332039,1,2500,0
5468018,0,134,0
14467067,0,1750,0
11412272,0,3750,0
10396848,0,2000,0
3734503,1,10000,0
15001981,1,1000,0
13553707,0,1750,0
14280294,2,500,0
14979597,7,300,1
3247896,0,5000,0
3459630,0,1500,0
14980371,7,1750,1
5458406,0,1750,0
10014616,0,4500,0
14477461,1,1000,0
1925959,7,2500,1
3727750,0,1500,0
14788030,1,2000,0
10208959,0,3250,0
100072184,0,1000,0
11547544,0,2000,0
10025385,0,2000,0
14588044,1,1500,0
15366722,0,6000,0
11504155,0,2500,0
14423935,0,1500,0
13614798,7,1750,1
13199335,0,1000,0
15362129,0,2000,0
10714458,1,3750,0
11635288,0,3250,0
15957370,5,1750,1
3806770,0,2500,0
1431876,0,5750,0
2510507,1,2500,0
12876502,0,585,0
2708199,0,4000,0
4752083,0,1750,0
14885550,1,2750,0
3906107,1,3250,0
11341091,0,1000,0
4606598,0,950,0
4468828,1,3500,0
5372175,1,2750,0
4504714,0,10000,0
3722535,2,300,0
12946557,0,4000,0
14532919,1,1500,0
16863854,0,1500,0
4658661,1,3000,0
14525676,0,4250,0
14552548,2,500,0
3267611,0,6000,0
3380958,0,10000,0
