MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
5336351,966,17,82,AG_70_UP,0,2000,0,36,305
16332482,2272,8,20,AG_0_30,2,500,0,5,15
15934507,6586,47,77,AG_70_UP,7,1250,1,5,8
5125582,8139,14,65,AG_50_70,5,3750,1,2,43
11570250,10371,26,51,AG_50_70,5,1200,1,8,51
14503847,5857,27,32,AG_30_50,1,500,0,3,109
5291975,5095,24,45,AG_30_50,0,3250,0,10,162
10735088,610,20,40,AG_30_50,0,1750,0,10,221
17064945,5259,34,28,AG_0_30,1,500,0,1,21
13787328,1797,6,34,AG_30_50,1,1750,0,19,19
13612918,6863,16,69,AG_50_70,0,1000,0,4,63
14578086,5223,32,34,AG_30_50,0,1750,0,15,77
5417896,5741,24,76,AG_70_UP,0,1750,0,30,131
16590625,955,9,37,AG_30_50,7,500,1,3,3
14402241,5059,12,32,AG_30_50,1,1000,0,9,22
10282698,8328,16,82,AG_70_UP,2,3500,0,9,121
10346620,5956,20,60,AG_50_70,0,1750,0,24,107
1974228,13029,29,34,AG_30_50,1,3750,0,57,134
10058848,2745,42,43,AG_30_50,0,300,0,23,223
14936711,2391,46,55,AG_50_70,0,2000,0,2,38
5291492,7537,27,36,AG_30_50,7,1000,1,28,136
10031292,616,12,71,AG_70_UP,0,2000,0,30,43
4575374,9533,24,72,AG_70_UP,0,1750,0,11,79
1934395,4883,17,35,AG_30_50,0,3500,0,26,101
10074732,22093,24,73,AG_70_UP,2,2000,0,24,126
17089458,5522,31,71,AG_70_UP,2,0,0,1,249
14724411,5320,5,24,AG_0_30,0,3750,0,14,24
2444656,23799,39,60,AG_50_70,1,5750,0,4,265
5435642,8329,25,58,AG_50_70,0,2000,0,30,158
11554654,4186,16,44,AG_30_50,0,500,0,8,26
17114292,2605,27,54,AG_50_70,1,750,0,1,93
5465863,7691,25,45,AG_30_50,0,1750,0,8,97
3073563,4198,18,56,AG_50_70,7,1750,1,5,269
15906876,6045,8,52,AG_50_70,7,1000,1,7,10
14214543,6505,12,20,AG_0_30,1,1750,0,11,19
14969737,10774,19,57,AG_50_70,3,1000,1,3,66
11551275,4333,14,47,AG_30_50,1,1000,0,11,69
5267271,19372,30,50,AG_30_50,7,2400,1,21,72
13764957,13924,12,27,AG_0_30,7,2250,1,19,90
10397026,14448,42,40,AG_30_50,1,1500,0,17,94
13511521,16328,30,33,AG_30_50,7,3750,1,1,140
1947743,36094,33,53,AG_50_70,7,3000,1,31,125
100154618,8379,38,50,AG_30_50,3,2250,1,1,191
13494457,10181,16,82,AG_70_UP,0,1000,0,10,164
13184040,8396,9,56,AG_50_70,0,3000,0,22,163
10031133,18849,41,62,AG_50_70,0,4250,0,7,234
14975760,2930,8,21,AG_0_30,0,1000,0,8,20
13237723,5361,26,51,AG_50_70,0,2500,0,11,22
14265646,7048,9,36,AG_30_50,0,900,0,11,17
13076099,0,7,32,AG_30_50,0,1750,0,22,22
13021354,5173,15,49,AG_30_50,5,1000,1,2,31
14231200,3378,9,21,AG_0_30,1,540,0,17,33
4659714,5038,8,47,AG_30_50,0,4750,0,1,65
14051504,5156,11,23,AG_0_30,0,1000,0,18,60
16973142,1560,24,26,AG_0_30,0,750,0,2,82
10178144,0,3,47,AG_30_50,0,3250,0,11,91
15357135,5535,11,80,AG_70_UP,0,1500,0,11,87
10041706,151,11,41,AG_30_50,0,3250,0,24,95
100123579,862,8,78,AG_70_UP,0,10000,0,33,84
3947427,0,14,27,AG_0_30,0,1000,0,35,79
2079446,13483,21,58,AG_50_70,4,4750,1,46,99
14496435,121,24,56,AG_50_70,0,1000,0,15,111
14169939,5308,34,60,AG_50_70,0,1750,0,12,122
15014040,33118,25,49,AG_30_50,0,2000,0,12,121
10279077,29353,18,58,AG_50_70,0,2000,0,29,106
1975634,10608,8,65,AG_50_70,0,6000,0,79,109
16449042,3410,33,45,AG_30_50,1,1000,0,2,125
13053494,13305,18,36,AG_30_50,0,1750,0,16,141
11363179,1930,31,30,AG_0_30,0,1000,0,25,126
10385067,8890,20,54,AG_50_70,0,1750,0,28,131
1427263,5976,15,53,AG_50_70,7,4300,1,51,138
14703965,15373,31,67,AG_50_70,5,2750,1,5,150
14265209,2426,24,57,AG_50_70,0,1000,0,10,157
4781632,9107,22,37,AG_30_50,4,1200,1,44,157
16369370,7173,51,60,AG_50_70,6,1000,1,2,230
11548018,10218,45,38,AG_30_50,4,1000,1,7,208
2395466,3469,31,49,AG_30_50,0,5500,0,23,219
11392754,18058,23,72,AG_70_UP,0,2000,0,23,244
15793089,37986,35,61,AG_50_70,0,500,0,5,260
3763667,7587,38,60,AG_50_70,0,2750,0,20,272
100293322,820,3,45,AG_30_50,1,500,0,1,11
15830615,763,10,40,AG_30_50,0,1000,0,4,20
17086060,3040,6,27,AG_0_30,0,1500,0,1,15
15956672,5366,11,38,AG_30_50,2,1500,0,3,15
16014109,244,2,24,AG_0_30,0,2000,0,7,7
16081935,2133,5,22,AG_0_30,0,1500,0,6,18
14596634,2393,10,44,AG_30_50,0,2500,0,8,21
14263223,4941,14,44,AG_30_50,0,1000,0,8,17
16209812,7878,10,19,AG_0_30,5,1000,1,5,6
13765621,0,4,52,AG_50_70,0,2000,0,19,19
13818729,68,5,25,AG_0_30,0,1000,0,19,19
14718175,1524,2,33,AG_30_50,0,2250,0,14,14
14862045,1574,7,20,AG_0_30,7,1750,1,11,21
14724660,2442,7,28,AG_0_30,1,1000,0,14,14
11347765,227,4,26,AG_0_30,0,3250,0,3,27
100204993,800,9,38,AG_30_50,2,500,0,1,25
14218549,6559,9,25,AG_0_30,4,1500,1,3,37
10256921,58,7,26,AG_0_30,0,3250,0,9,44
16014897,1535,17,51,AG_50_70,0,500,0,7,47
13893874,2250,9,57,AG_50_70,7,428,1,9,27
16266729,2487,10,29,AG_0_30,0,750,0,5,27
11530435,2476,11,48,AG_30_50,0,1000,0,7,40
13075947,5155,9,53,AG_50_70,2,2300,0,9,38
13500963,6573,16,52,AG_50_70,1,1750,0,9,33
14382261,6513,16,53,AG_50_70,0,1000,0,9,27
11416952,16019,12,67,AG_50_70,1,1750,0,8,38
11386960,491,4,36,AG_30_50,0,1750,0,14,38
10197142,0,10,52,AG_50_70,0,3250,0,15,33
14247472,2853,8,52,AG_50_70,7,1000,1,17,38
