,MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
210,13143187,6269,14,65,AG_50_70,2,886,0,14,110
211,14477233,10987,20,51,AG_50_70,0,1750,0,16,102
212,14756565,10732,22,76,AG_70_UP,1,0,0,12,108
213,4627086,26430,29,39,AG_30_50,0,2150,0,17,105
214,4774612,2051,16,55,AG_50_70,7,350,1,25,104
215,3059907,1437,8,28,AG_0_30,0,10000,0,84,102
216,4595587,5715,3,47,AG_30_50,0,3000,0,74,111
217,1700461,5143,11,41,AG_30_50,1,6000,0,101,108
218,11530756,15450,17,48,AG_30_50,0,1750,0,15,127
219,1438286,32699,13,34,AG_30_50,0,2000,0,11,138
220,5325551,1745,15,48,AG_30_50,7,2250,1,21,137
221,1955726,1942,19,47,AG_30_50,2,4000,0,72,131
222,100126262,3281,22,45,AG_30_50,2,1000,0,31,140
223,4710313,4017,22,73,AG_70_UP,0,1750,0,48,144
224,4364894,11064,21,61,AG_50_70,6,710,1,8,157
225,4643285,863,10,82,AG_70_UP,1,1400,0,13,188
226,15357948,4476,30,35,AG_30_50,1,1000,0,10,163
227,2728386,36215,23,73,AG_70_UP,2,2600,0,12,155
228,4724384,3715,17,41,AG_30_50,0,750,0,23,161
229,11305343,6549,21,88,AG_70_UP,0,1750,0,24,168
230,11292352,15185,14,43,AG_30_50,1,4250,0,1,214
231,14050307,9384,20,60,AG_50_70,1,2250,0,7,219
232,16041104,12703,28,48,AG_30_50,2,2700,0,7,202
233,13631548,15765,32,40,AG_30_50,7,1000,1,9,235
234,13847344,8,16,80,AG_70_UP,0,1750,0,19,201
235,13512518,4255,30,45,AG_30_50,0,4000,0,10,202
236,15374483,6127,25,47,AG_30_50,5,500,1,11,217
237,4717374,32363,13,73,AG_70_UP,0,2500,0,53,211
238,11407749,16036,19,70,AG_50_70,0,3250,0,1,256
239,4575218,0,15,38,AG_30_50,6,4250,1,58,254
240,13971590,12254,19,45,AG_30_50,5,2750,1,6,334
241,5336351,966,17,82,AG_70_UP,0,2000,0,36,305
242,16332482,2272,8,20,AG_0_30,2,500,0,5,15
243,15934507,6586,47,77,AG_70_UP,7,1250,1,5,8
244,5125582,8139,14,65,AG_50_70,5,3750,1,2,43
245,11570250,10371,26,51,AG_50_70,5,1200,1,8,51
246,14503847,5857,27,32,AG_30_50,1,500,0,3,109
247,5291975,5095,24,45,AG_30_50,0,3250,0,10,162
248,10735088,610,20,40,AG_30_50,0,1750,0,10,221
249,17064945,5259,34,28,AG_0_30,1,500,0,1,21
250,13787328,1797,6,34,AG_30_50,1,1750,0,19,19
251,13612918,6863,16,69,AG_50_70,0,1000,0,4,63
252,14578086,5223,32,34,AG_30_50,0,1750,0,15,77
253,5417896,5741,24,76,AG_70_UP,0,1750,0,30,131
254,16590625,955,9,37,AG_30_50,7,500,1,3,3
255,14402241,5059,12,32,AG_30_50,1,1000,0,9,22
256,10282698,8328,16,82,AG_70_UP,2,3500,0,9,121
257,10346620,5956,20,60,AG_50_70,0,1750,0,24,107
258,1974228,13029,29,34,AG_30_50,1,3750,0,57,134
259,10058848,2745,42,43,AG_30_50,0,300,0,23,223
260,14936711,2391,46,55,AG_50_70,0,2000,0,2,38
261,5291492,7537,27,36,AG_30_50,7,1000,1,28,136
262,10031292,616,12,71,AG_70_UP,0,2000,0,30,43
263,4575374,9533,24,72,AG_70_UP,0,1750,0,11,79
264,1934395,4883,17,35,AG_30_50,0,3500,0,26,101
265,10074732,22093,24,73,AG_70_UP,2,2000,0,24,126
266,17089458,5522,31,71,AG_70_UP,2,0,0,1,249
267,14724411,5320,5,24,AG_0_30,0,3750,0,14,24
268,2444656,23799,39,60,AG_50_70,1,5750,0,4,265
269,5435642,8329,25,58,AG_50_70,0,2000,0,30,158
270,11554654,4186,16,44,AG_30_50,0,500,0,8,26
271,17114292,2605,27,54,AG_50_70,1,750,0,1,93
272,5465863,7691,25,45,AG_30_50,0,1750,0,8,97
273,3073563,4198,18,56,AG_50_70,7,1750,1,5,269
274,15906876,6045,8,52,AG_50_70,7,1000,1,7,10
275,14214543,6505,12,20,AG_0_30,1,1750,0,11,19
276,14969737,10774,19,57,AG_50_70,3,1000,1,3,66
277,11551275,4333,14,47,AG_30_50,1,1000,0,11,69
278,5267271,19372,30,50,AG_30_50,7,2400,1,21,72
279,13764957,13924,12,27,AG_0_30,7,2250,1,19,90
280,10397026,14448,42,40,AG_30_50,1,1500,0,17,94
281,13511521,16328,30,33,AG_30_50,7,3750,1,1,140
282,1947743,36094,33,53,AG_50_70,7,3000,1,31,125
283,100154618,8379,38,50,AG_30_50,3,2250,1,1,191
284,13494457,10181,16,82,AG_70_UP,0,1000,0,10,164
285,13184040,8396,9,56,AG_50_70,0,3000,0,22,163
286,10031133,18849,41,62,AG_50_70,0,4250,0,7,234
287,14975760,2930,8,21,AG_0_30,0,1000,0,8,20
288,13237723,5361,26,51,AG_50_70,0,2500,0,11,22
289,14265646,7048,9,36,AG_30_50,0,900,0,11,17
290,13076099,0,7,32,AG_30_50,0,1750,0,22,22
291,13021354,5173,15,49,AG_30_50,5,1000,1,2,31
292,14231200,3378,9,21,AG_0_30,1,540,0,17,33
293,4659714,5038,8,47,AG_30_50,0,4750,0,1,65
294,14051504,5156,11,23,AG_0_30,0,1000,0,18,60
295,16973142,1560,24,26,AG_0_30,0,750,0,2,82
296,10178144,0,3,47,AG_30_50,0,3250,0,11,91
297,15357135,5535,11,80,AG_70_UP,0,1500,0,11,87
298,10041706,151,11,41,AG_30_50,0,3250,0,24,95
299,100123579,862,8,78,AG_70_UP,0,10000,0,33,84
300,3947427,0,14,27,AG_0_30,0,1000,0,35,79
301,2079446,13483,21,58,AG_50_70,4,4750,1,46,99
302,14496435,121,24,56,AG_50_70,0,1000,0,15,111
303,14169939,5308,34,60,AG_50_70,0,1750,0,12,122
304,15014040,33118,25,49,AG_30_50,0,2000,0,12,121
305,10279077,29353,18,58,AG_50_70,0,2000,0,29,106
306,1975634,10608,8,65,AG_50_70,0,6000,0,79,109
307,16449042,3410,33,45,AG_30_50,1,1000,0,2,125
308,13053494,13305,18,36,AG_30_50,0,1750,0,16,141
309,11363179,1930,31,30,AG_0_30,0,1000,0,25,126
310,10385067,8890,20,54,AG_50_70,0,1750,0,28,131
311,1427263,5976,15,53,AG_50_70,7,4300,1,51,138
312,14703965,15373,31,67,AG_50_70,5,2750,1,5,150
313,14265209,2426,24,57,AG_50_70,0,1000,0,10,157
314,4781632,9107,22,37,AG_30_50,4,1200,1,44,157
315,16369370,7173,51,60,AG_50_70,6,1000,1,2,230
316,11548018,10218,45,38,AG_30_50,4,1000,1,7,208
317,2395466,3469,31,49,AG_30_50,0,5500,0,23,219
318,11392754,18058,23,72,AG_70_UP,0,2000,0,23,244
319,15793089,37986,35,61,AG_50_70,0,500,0,5,260
320,3763667,7587,38,60,AG_50_70,0,2750,0,20,272
321,100293322,820,3,45,AG_30_50,1,500,0,1,11
322,15830615,763,10,40,AG_30_50,0,1000,0,4,20
323,17086060,3040,6,27,AG_0_30,0,1500,0,1,15
324,15956672,5366,11,38,AG_30_50,2,1500,0,3,15
325,16014109,244,2,24,AG_0_30,0,2000,0,7,7
326,16081935,2133,5,22,AG_0_30,0,1500,0,6,18
327,14596634,2393,10,44,AG_30_50,0,2500,0,8,21
328,14263223,4941,14,44,AG_30_50,0,1000,0,8,17
329,16209812,7878,10,19,AG_0_30,5,1000,1,5,6
330,13765621,0,4,52,AG_50_70,0,2000,0,19,19
331,13818729,68,5,25,AG_0_30,0,1000,0,19,19
332,14718175,1524,2,33,AG_30_50,0,2250,0,14,14
333,14862045,1574,7,20,AG_0_30,7,1750,1,11,21
334,14724660,2442,7,28,AG_0_30,1,1000,0,14,14
335,11347765,227,4,26,AG_0_30,0,3250,0,3,27
336,100204993,800,9,38,AG_30_50,2,500,0,1,25
337,14218549,6559,9,25,AG_0_30,4,1500,1,3,37
338,10256921,58,7,26,AG_0_30,0,3250,0,9,44
339,16014897,1535,17,51,AG_50_70,0,500,0,7,47
340,13893874,2250,9,57,AG_50_70,7,428,1,9,27
341,16266729,2487,10,29,AG_0_30,0,750,0,5,27
342,11530435,2476,11,48,AG_30_50,0,1000,0,7,40
343,13075947,5155,9,53,AG_50_70,2,2300,0,9,38
344,13500963,6573,16,52,AG_50_70,1,1750,0,9,33
345,14382261,6513,16,53,AG_50_70,0,1000,0,9,27
346,11416952,16019,12,67,AG_50_70,1,1750,0,8,38
347,11386960,491,4,36,AG_30_50,0,1750,0,14,38
348,10197142,0,10,52,AG_50_70,0,3250,0,15,33
349,14247472,2853,8,52,AG_50_70,7,1000,1,17,38
350,11490056,8583,17,34,AG_30_50,1,3000,0,15,26
351,13320557,24695,12,55,AG_50_70,2,2250,0,17,31
352,11573652,0,6,80,AG_70_UP,0,3250,0,25,49
353,100065278,0,10,21,AG_0_30,0,3250,0,24,44
354,12973970,5950,24,26,AG_0_30,5,2000,1,20,32
355,5387268,0,14,39,AG_30_50,0,1750,0,35,35
356,5310338,1854,5,31,AG_30_50,1,800,0,36,44
357,10174472,1234,8,64,AG_50_70,2,1210,0,30,30
358,13233946,349,11,73,AG_70_UP,0,2000,0,3,71
359,15388423,2447,6,71,AG_70_UP,0,1500,0,5,70
360,100097303,5175,24,44,AG_30_50,6,1500,1,8,69
361,10274233,9502,15,49,AG_30_50,0,5750,0,5,65
362,13739695,12860,7,57,AG_50_70,0,568,0,7,70
363,12864566,15009,33,59,AG_50_70,0,3000,0,18,58
364,4732814,6050,14,48,AG_30_50,0,2250,0,31,65
365,17098344,1939,21,67,AG_50_70,1,0,0,1,87
366,2270057,6407,8,30,AG_0_30,0,6000,0,2,93
367,14373694,14688,24,62,AG_50_70,0,1750,0,3,78
368,15762756,2680,14,42,AG_30_50,1,2000,0,8,83
369,3933030,4196,15,59,AG_50_70,1,10000,0,6,97
370,14249316,85,4,66,AG_50_70,0,3250,0,17,89
371,10385099,12407,26,59,AG_50_70,1,2750,0,13,87
372,5160484,12418,26,65,AG_50_70,5,2000,1,18,98
373,13006656,21142,11,54,AG_50_70,1,1750,0,23,80
374,3388791,0,11,27,AG_0_30,0,0,0,48,98
375,5412225,2794,7,48,AG_30_50,0,4250,0,35,88
376,3667472,3099,23,51,AG_50_70,0,2150,0,56,87
377,2219405,4505,7,30,AG_0_30,0,1750,0,93,93
378,4516960,4181,13,47,AG_30_50,7,1750,1,34,92
379,2056785,6899,4,71,AG_70_UP,0,5750,0,95,95
380,16537762,1974,17,51,AG_50_70,0,1000,0,3,100
381,16311410,7099,37,52,AG_50_70,3,1000,1,3,108
382,16470463,9426,36,55,AG_50_70,2,1000,0,3,102
383,13763646,24562,40,56,AG_50_70,0,3250,0,4,118
384,2314964,25011,28,45,AG_30_50,0,6000,0,2,122
385,11497113,7833,23,81,AG_70_UP,0,1000,0,6,104
386,11458827,15562,20,48,AG_30_50,7,2800,1,6,124
387,14453406,3129,13,37,AG_30_50,4,500,1,13,100
388,10291469,10751,27,49,AG_30_50,0,3250,0,19,110
389,13648739,1855,20,79,AG_70_UP,0,807,0,20,106
390,10074004,6499,14,60,AG_50_70,1,2100,0,23,105
391,10175872,10500,32,47,AG_30_50,0,1000,0,22,123
392,4445023,4696,14,65,AG_50_70,1,1250,0,46,106
393,2774059,11936,16,38,AG_30_50,0,4500,0,63,103
394,14131398,5566,14,63,AG_50_70,0,2000,0,5,135
395,100114196,7231,15,33,AG_30_50,0,2000,0,5,149
396,14755484,11270,11,33,AG_30_50,0,500,0,14,149
397,1343107,16600,8,29,AG_0_30,1,3800,0,56,135
398,16047927,1857,10,59,AG_50_70,1,1000,0,3,150
399,4731896,3495,16,61,AG_50_70,0,1000,0,4,181
400,3623300,16721,32,34,AG_30_50,0,1450,0,1,159
401,14131804,2418,19,35,AG_30_50,1,1500,0,11,152
402,13740796,12344,31,64,AG_50_70,0,3250,0,12,154
403,13983273,22818,17,57,AG_50_70,0,2500,0,10,163
404,13361776,622,33,44,AG_30_50,0,2250,0,20,195
405,2310146,3471,8,54,AG_50_70,1,10000,0,6,211
406,10742769,3498,31,68,AG_50_70,1,2250,0,9,245
407,16011157,7705,25,52,AG_50_70,3,1000,1,7,225
408,13667394,8962,31,56,AG_50_70,0,2750,0,5,215
409,14051813,3193,6,64,AG_50_70,3,600,1,18,210
410,14423855,6530,25,52,AG_50_70,0,1000,0,10,238
411,11637838,17402,36,45,AG_30_50,7,2250,1,17,228
412,13043675,21122,28,62,AG_50_70,0,1750,0,16,206
413,15307415,9072,40,64,AG_50_70,0,1000,0,2,338
414,10197211,3214,21,40,AG_30_50,1,3250,0,5,305
415,16178677,896,6,58,AG_50_70,0,1000,0,2,6
416,5470202,9153,8,59,AG_50_70,1,3500,0,34,55
417,14680006,2191,20,27,AG_0_30,0,1500,0,3,100
418,4044173,7979,28,58,AG_50_70,0,2750,0,7,103
419,13915562,3850,19,38,AG_30_50,0,2000,0,15,110
420,16462997,8424,25,45,AG_30_50,0,1750,0,4,213
421,14403888,2393,14,44,AG_30_50,0,1750,0,13,84
422,17075678,11827,25,63,AG_50_70,0,2250,0,1,131
423,13368939,943,24,47,AG_30_50,1,3250,0,8,147
424,11436400,460,17,48,AG_30_50,0,2000,0,26,131
425,5455141,5757,23,45,AG_30_50,1,1000,0,34,234
426,4298206,2568,28,39,AG_30_50,0,10000,0,20,279
427,14946826,2516,10,21,AG_0_30,0,500,0,3,43
428,16237592,4887,7,22,AG_0_30,2,1000,0,6,29
429,2078855,949,17,48,AG_30_50,0,2250,0,84,102
430,3519505,1546,15,39,AG_30_50,1,1700,0,41,117
431,3934655,29119,31,55,AG_50_70,1,2350,0,8,143
432,11412945,40826,37,40,AG_30_50,0,1750,0,7,227
433,11562556,26633,24,77,AG_70_UP,0,2750,0,22,281
