MATCHKEY,RBAL,TRADES,AGE
13764874,1939,10,28
14605128,2183,16,37
14217677,5583,20,25
13513718,6370,5,31
13696599,3971,13,43
13641719,14733,14,47
5252051,4948,9,48
4457345,25796,11,57
3046042,4483,23,50
10059885,23928,26,54
4248856,5763,13,31
2240122,2094,17,42
3693303,406,10,68
3434461,2397,13,46
2861672,10281,9,59
11601118,5971,14,43
16548005,8159,21,27
13198500,2400,23,61
2673425,45530,35,57
5436131,11645,28,57
10028478,19127,23,45
2788889,25263,29,65
11308236,1163,46,51
11432187,17661,20,50
14196643,2322,9,57
10157821,3433,14,52
15227063,22972,37,64
15870999,3183,31,35
13136090,19386,16,45
10723174,8054,15,63
100042109,4301,21,69
5284473,736,8,64
4408146,2874,22,52
14626693,14312,33,56
3335319,1418,29,49
5270993,1041,18,47
3830918,14828,20,56
16559349,53327,74,43
1525288,9646,13,34
16973969,520,15,82
14176415,697,9,33
5230036,13101,15,59
13982985,15143,24,34
4356415,3155,21,26
2389276,17888,25,51
13649418,12001,31,32
5371915,7327,24,51
5356724,11957,26,33
14022014,4280,36,55
5370219,21909,19,67
1837975,23272,28,47
3707832,7472,19,26
10735223,17210,12,54
14154696,714,10,25
16749198,1866,13,43
10721302,10663,23,48
11452216,2182,14,54
14476724,11113,12,55
3037293,8598,26,33
13723740,3605,22,41
13767738,4178,19,28
14496708,4293,22,30
11352269,7677,31,34
14120339,6698,16,48
13899535,13686,18,37
16154164,10536,15,49
10044869,12330,25,42
4480631,11206,35,69
13331509,1973,24,47
12927855,5368,32,78
4103013,8967,32,58
100173157,65,2,25
16864585,391,6,57
17086598,1137,6,21
14615187,1295,11,24
15357227,2648,14,27
11407336,3255,12,28
13543023,4971,11,23
13511910,0,9,25
10405116,7735,7,46
5449713,3732,14,31
11502471,138,13,23
16237577,2358,11,23
14525710,4145,23,43
10322062,4508,11,38
5464105,21502,10,35
16474924,1474,28,24
14948973,1847,25,58
16423868,17956,19,41
3007007,6353,9,64
12999017,6916,22,65
1766128,2446,17,40
11612533,6523,16,61
3011790,6006,23,41
4026538,9644,12,83
4534895,7223,9,31
4051746,30102,27,62
14395093,29157,12,53
11351248,2896,14,74
10352076,56,35,75
16354061,8067,16,47
4207130,9375,9,43
1374470,17418,18,29
2474973,6632,37,59
13597835,0,17,50
10418974,4154,23,47
13806281,8918,35,40
5387045,1682,9,67
10296510,10205,15,60
14331880,3377,20,42
10692524,3815,28,86
14282962,17392,35,61
16390298,1086,12,43
10197744,5486,19,46
4536760,6821,47,70
3829259,1907,51,42
12991481,13056,24,52
14424864,4899,23,60
13837988,10639,37,31
11402447,1354,13,35
4788613,2512,25,45
10353278,4320,33,60
12966395,27658,22,62
5389687,5183,12,49
11446962,12804,19,43
100323156,4436,16,46
100223499,14121,23,76
15822139,18198,23,34
13916645,10056,12,37
15007775,3550,39,62
15027780,9430,32,45
14717865,1866,12,33
11611098,13172,26,34
3956910,27228,58,48
16739459,30436,18,46
13727808,37637,30,51
4515625,34815,37,66
11508737,9386,18,33
2456557,186,23,29
13235020,12216,34,27
100278073,2076,27,29
13900425,1734,25,22
14459939,54,17,44
3740545,9917,29,41
14642200,3169,9,40
100254681,3849,12,63
5340806,16608,15,23
13724300,1238,9,46
1742021,6690,14,45
5381913,1046,11,68
14868088,9,14,54
13683353,4448,20,50
4563573,24648,11,58
15001193,4870,20,47
14476662,2246,13,36
11294282,19567,19,63
5245591,16797,25,22
16765864,6565,8,55
16097178,8454,17,46
5165232,5055,35,31
16575242,3399,26,58
10147491,3369,29,41
11534075,20634,21,45
11543281,2702,15,49
3064326,11687,31,74
14756363,13269,25,41
10235057,3293,25,56
15343983,9476,20,42
14927993,3233,14,35
5244071,9479,11,27
2444608,14426,24,48
13239771,12781,23,25
4597871,9535,14,73
4706091,12431,28,27
14980408,40694,35,42
5417840,2840,21,40
3510502,10844,19,36
14095868,4449,27,25
11528632,4529,22,41
10407529,2515,18,79
12967822,11816,17,52
14475764,1783,8,22
14332039,2084,10,50
5468018,3020,14,49
14467067,13486,18,22
11412272,3872,20,22
10396848,1808,14,54
3734503,29721,23,48
15001981,13979,28,38
13553707,7875,27,63
14280294,1524,19,70
14979597,19012,28,77
3247896,6754,18,56
3459630,2831,22,26
14980371,28661,38,57
5458406,10434,22,58
10014616,5965,16,43
14477461,32560,55,42
1925959,18509,21,46
3727750,36928,28,59
14788030,8148,33,46
10208959,5646,19,22
100072184,10151,31,32
11547544,9614,26,50
10025385,1118,15,32
14588044,1264,15,29
15366722,5377,20,48
11504155,11317,15,51
14423935,7473,41,49
13614798,6340,12,41
13199335,1391,13,32
15362129,2637,17,80
10714458,2049,21,41
11635288,7112,14,35
15957370,31291,33,38
3806770,11708,22,26
1431876,3809,23,56
2510507,6839,17,45
12876502,1404,29,44
2708199,11100,30,46
4752083,124,31,63
14885550,5772,26,54
3906107,7538,15,44
11341091,1916,34,49
4606598,4702,21,51
4468828,6840,34,46
5372175,2340,18,33
4504714,17767,22,37
3722535,12570,18,29
12946557,10218,33,57
14532919,8028,17,25
16863854,28344,50,68
4658661,18203,28,66
14525676,6978,31,45
14552548,24043,34,47
3267611,18108,30,58
3380958,10793,29,67
